"","days","confirmed.case_mean","confirmed.case_CI95","new.deaths_mean","new.deaths_CI95","ICU_mean","ICU_CI95","newICU_mean","newICU_CI95","ICUover_mean","ICUover_CI95","Ventilator_mean","Ventilator_CI95","smoothed.confirmed_mean","smoothed.confirmed_CI95","smoothed.deaths_mean","smoothed.deaths_CI95","confirmed.case.rate_mean","confirmed.case.rate_CI95","new.deaths.rate_mean","new.deaths.rate_CI95","ICU.rate_mean","ICU.rate_CI95","newICU.rate_mean","newICU.rate_CI95","ICUover.rate_mean","ICUover.rate_CI95","Ventilator.rate_mean","Ventilator.rate_CI95","policy.name","start.stop"
"1",0,60.6,59.0293925430374,0.978723404255319,0.778632877668843,13.48406966714,10.392493026132,3.54373861148,3.00653498382502,0,0,12.82572296544,9.95625811517006,73.6871786650503,79.0537074204016,0.776117610591649,0.563518782533256,15.5086312772379,17.4337032349889,0.216595449492548,0.213402683586309,2.7438508286,2.50759249803038,0.74673615702,0.7634082679244,0,0,2.62554424536,2.42408721105162,"Childcare (K-12)","start"
"2",1,118.94,156.646869326393,1.14893617021277,1.03548848536826,16.99393333414,13.6473667556469,4.49571593194,3.99818496064381,0,0,16.18605071178,13.1099850394687,92.7613975485704,98.8489923553559,1.03437760432041,0.779251221531229,19.0742188835202,20.1162436475713,0.258259993728761,0.234694385608575,3.509863667,3.36059167669802,0.95197732046,1.00498568143404,0,0,3.36032774634,3.24774999543021,"Childcare (K-12)","start"
"3",2,157.76,191.333533694854,1.97916666666667,1.4402881459147,21.47129845734,18.0012289732825,5.6976714052,5.28497818095312,0,0,20.47374095616,17.322507435474,115.873169635895,122.269804760669,1.31704708300771,0.969312651975878,23.1117720873244,23.7094379246502,0.282669478687303,0.199723416148113,4.4773651232,4.45232230587928,1.20195547326,1.29868617659083,0,0,4.28769024438,4.299501037178,"Childcare (K-12)","start"
"4",3,179.58,203.621899397486,2,1.70962491012892,27.09144502852,23.7223711315156,7.1939857034,6.91547434763208,0,0,25.85191680058,22.8478617135194,141.188107331088,146.374320196414,1.70344876136108,1.28294837709964,25.3149376951936,24.4195883771894,0.38640167835337,0.327034784481865,5.62014657118,5.81112683646583,1.4963142982,1.64117504895502,0,0,5.37817584442,5.604646201912,"Childcare (K-12)","start"
"5",4,69.2,29.6299804927374,2.25,1.71680118181237,34.13246965708,31.0930169646929,9.02284106066,8.92835130135995,0,0,32.58474503004,29.9513627872869,167.081486393112,168.263677893031,2.2857891517599,1.88199766144125,25.8933790620239,22.3191666533075,0.582340390398821,0.618992258629611,7.04102462856,7.45158511052453,1.82885535726,2.02268227484024,0,0,6.73282822946,7.17470001036119,"Childcare (K-12)","start"
"6",5,210.52,223.487652743144,2.40816326530612,1.8289702020536,42.83168611216,40.3835999176108,11.21258350836,11.3467287896922,0,0,40.89534062188,38.8833627758271,193.907340595323,187.684045717024,3.01608278133831,2.6711213662488,26.8258542022105,20.2064409614672,0.730293629578401,0.806290209823213,8.69921645508,9.36391787232298,2.1897424477,2.42774640184814,0,0,8.31059559184,8.99648997649641,"Childcare (K-12)","start"
"7",6,205.44,189.919433670596,4.3469387755102,3.98943504772292,53.43176305034,51.8320446842221,13.7778271053,14.1747704593078,0,0,51.00279902116,49.8585528831055,222.447973587004,206.606015597638,3.8432864260648,3.53621153095004,28.540632991681,20.0716042261139,0.827203644726496,0.879897005791434,10.60007693818,11.515086477109,2.56524359694,2.83743470081395,0,0,10.10745839928,11.0340650154276,"Childcare (K-12)","start"
"8",7,261.12,285.105710681214,4.63265306122449,4.49295314909915,66.12269761926,65.6149147123445,16.71526576328,17.3942653548619,0,0,63.07519580262,63.0287477081703,252.198173848995,225.408334992776,4.87734855594575,4.62726773378915,29.750200261991,20.0989463690682,1.03406212988095,1.10396051848789,12.69093456892,13.844846778561,2.93743865798,3.22928785173722,0,0,12.07239678146,13.2253660113545,"Childcare (K-12)","start"
"9",8,302.857142857143,256.851799365574,6.04081632653061,5.16958412253829,81.03259965798,81.821658288188,19.9998614922,20.9610326791818,0,0,77.21775604176,78.4581862955027,282.756432712543,244.379887903407,6.24186227992279,6.09578760880609,30.5582588635478,20.1497262043848,1.36451372397704,1.48080491546861,14.90990203872,16.2660973337454,3.28459572892,3.57719166781346,0,0,14.14256023914,15.4827959435938,"Childcare (K-12)","start"
"10",9,314.877551020408,232.870090422393,7.91836734693878,7.55741128517784,98.20529664014,100.431369078916,23.58253252994,24.8030274250238,0,0,93.45171840846,96.1018170952854,315.376513529784,265.123571610812,8.04312938072691,8.10914758901513,32.6200808172417,21.9513302173973,1.80126710080412,2.02542155642632,17.17269698216,18.6682228798701,3.58267103774,3.8531505597207,0,0,16.2339623667,17.6967941939889,"Childcare (K-12)","start"
"11",10,389.877551020408,351.93332613058,11.0612244897959,13.0175836467449,117.58261773896,121.296603193258,27.39057046844,28.8215827973587,0,0,111.69815037072,115.790830533353,350.816455295865,287.68132725263,10.1929850606023,10.5588469815368,35.4399417660808,24.0194461743878,2.14985567987535,2.45885596221602,19.37732109882,20.9242699364428,3.8080379385,4.03052133458755,0,0,18.24643196226,19.7432031242383,"Childcare (K-12)","start"
"12",11,369.469387755102,261.489846173805,11.0816326530612,10.0090959964757,139.0270803894,144.132593947062,31.36551197216,32.8926704593958,0,0,131.80269781756,137.223839025037,388.486006737804,309.874410810728,12.5377895546028,13.1846420872503,37.6695514419386,23.9064126909834,2.34480449400055,2.6332105876085,21.44446265044,22.8967053980386,3.97494150372,4.08459161547646,0,0,20.10454744684,21.4892775911016,"Childcare (K-12)","start"
"13",12,432.16,324.340234952372,12.7755102040816,14.3710983110779,162.2231988505,168.523965737074,35.3351880543,36.8829005577293,9.016266992,17.67188330432,153.4380657854,159.975774661267,425.729115489722,329.375640148556,14.9330173128812,15.7259634059877,37.2431087519181,21.4476676966682,2.39522775827841,2.54918727876398,23.1961184611,24.4545232326426,3.96967608214,4.00508625953012,9.016266992,17.67188330432,21.63536796784,22.8110198626647,"Childcare (K-12)","start"
"14",13,438.06,346.108204591801,17.3673469387755,19.0583918524098,186.7737374021,193.928476222589,39.2154683097,40.6455558892039,21.64338942,42.4210432632,176.20429343226,183.503726092189,460.472176799545,346.784507313676,17.5765328145769,18.4880089159518,34.7430613098236,19.1958178019309,2.64351550169571,2.77275882393319,24.5505385516,25.4715643213264,3.8802802554,3.780831870916,12.627122428,24.74915995888,22.76622764686,23.591426278957,"Childcare (K-12)","start"
"15",14,461.44,345.434433567008,22.0408163265306,22.9862378536956,212.21107204932,219.702911093883,42.90774483518,44.0404727085444,34.42454988,67.4721177648,199.63457641822,207.174873593552,492.159224999822,363.482833795872,20.578288454002,21.6679299720309,31.6870482002764,17.8441769653628,3.00175563942511,3.19271749176018,25.43733464722,25.8482400394909,3.69227652548,3.41914606085737,12.78116046,25.0510745016,23.43028298596,23.7420809691807,"Childcare (K-12)","start"
"16",15,492.92,359.697759718128,23.8163265306122,20.8974266039306,237.9840425625,245.144190282508,46.28806856676,46.9483304032819,47.00817796,92.1360288016,223.1951079045,230.308230539803,521.242867665008,378.464950751696,23.6702714502238,24.8431767654531,29.0836426651867,16.1848622754851,3.09198299622181,3.18858602198176,25.77297051318,25.5265578938295,3.38032373158,2.94303474416741,12.58362808,24.6639110368,23.56053148628,23.2169672540677,"Childcare (K-12)","start"
"17",16,601.46,449.74889358681,31.8979591836735,35.6201913152264,263.52976822824,269.53399741721,49.28784903696,49.2757477304799,61.319191666,115.701915648159,246.3482068305,252.220340462352,547.888341304413,390.818747480158,26.5320879457528,27.5900287163272,26.6454736394046,14.388228791007,2.86181649552898,2.76222453204368,25.54572566574,24.4944041901948,2.9997804702,2.38309921334105,14.311013706,23.9024183595377,23.153098926,22.017132922945,"Childcare (K-12)","start"
"18",17,640.76,465.878205298509,33.2448979591837,36.9222301962743,288.26680270554,292.193851308427,51.85244271194,50.9673603745646,76.110636702,137.766879225167,268.54754034126,272.279624119081,570.433749698424,400.409618524567,29.2200137218263,30.1281837736568,22.5454083940112,11.8967804871581,2.68792577607347,2.55382222900323,24.7370344773,22.7963204349033,2.56459367498,1.78817844148825,14.791445036,22.8180789957177,22.19933351076,20.1999703497761,"Childcare (K-12)","start"
"19",18,604.6,399.333196456293,27.7959183673469,27.4768990001904,311.72869938668,312.527834323868,53.95419289246,52.0085981243943,89.509381646,157.664571565207,289.3704351993,289.94743195519,587.974364290526,407.59146673915,31.8772240802901,32.7471686272021,17.5406145921013,9.16779310418484,2.65721035846379,2.63310390487408,23.46189668114,20.5222870895092,2.10175018052,1.2289685891666,13.398744944,20.4733237890054,20.82289485804,17.8673847405153,"Childcare (K-12)","start"
"20",19,578.08,378.683767270582,25.36,23.245515682815,333.49523678596,330.06761308891,55.59003164754,52.4217328973513,101.231737066,174.835759500921,308.4471213131,304.820295579058,600.834416442183,412.126180626832,34.3506543806755,35.1286691411848,12.8600521516576,7.50940708673463,2.47343030038541,2.40358835006043,21.76653739928,17.8123685532066,1.63583875508,0.837060006201623,11.72235542,17.6688236329297,19.0766861138,15.170452691673,"Childcare (K-12)","start"
"21",20,548.94,350.908862113455,41.06,43.4454413461297,353.23918230916,344.494948757864,56.77841249692,52.260521574513,111.086553636,188.911376250882,325.504877243,316.648740503689,609.977000992003,414.046892282987,36.4840328501048,36.956109828011,9.14258454982002,7.32930671992858,2.13337846942934,1.87662763969001,19.7439455232,14.8390518226603,1.18838084938,0.817575985230782,9.85481656999998,14.5675144201664,17.0577559299,12.2933270118574,"Childcare (K-12)","start"
"22",21,634.82,463.088954137151,43.52,43.4164803806112,370.73202684244,355.648583730768,57.5544314189,51.601593675401,118.97690787,199.700505345524,340.37089481342,325.34006622307,614.607699579959,412.653209545456,38.3264429523622,38.286141447498,4.63069858795565,7.49816632139158,1.84241010225742,1.43622188658703,17.49284453328,11.8027327784175,0.776018921979999,1.09155923475195,7.89035423400001,11.353008814752,14.86601757042,9.45555035988483,"Childcare (K-12)","start"
"23",22,645.24,450.384290272385,43.3,42.7548264409996,385.83961000416,363.513865206034,57.96361765048,50.5338088714769,124.89121322,207.172039586945,352.965157765,330.944214240593,614.674521580542,408.137569653967,40.0353307612135,39.3357116315408,0.0668220005835305,8.07051785741148,1.70888780885127,1.21966692268674,15.10758316172,8.94257473494301,0.409186231579998,1.41679039118605,5.91430534999999,8.23404191162123,12.59426295158,6.94372934763423,"Childcare (K-12)","start"
"24",23,640.58,443.275392461887,39.9,36.726832697634,398.51168443544,368.199736670447,58.05801886614,49.150504672108,128.88783418,211.427757560998,363.28741637146,333.627445932784,610.415307903306,401.583667552336,41.6027379008656,40.0333923229213,-4.25921367723662,9.41977393312893,1.56740713965206,0.982619186069565,12.67207443128,6.59553830056657,0.0944012156599998,1.69637028508123,3.99662096000001,5.50937432891273,10.32225860646,5.20599168761745,"Childcare (K-12)","start"
"25",24,609.74,378.089982575788,42.82,40.9750010108603,408.77013670966,369.91039531614,57.89319471122,47.5435425349219,131.4259218168,212.655831762229,371.40307966918,333.641226745628,603.66893502135,394.28193387493,42.9519784381898,40.3045339414753,-6.74637288195622,11.050610608994,1.34924053732421,0.795814966761801,10.25845227422,5.29190519239393,-0.164824154920001,1.90374378275989,2.53808763679999,3.87120532694631,8.11566329772002,4.79676448771918,"Childcare (K-12)","start"
